course_id,course_name,provider,skill,duration_weeks,cost,is_free,level,url
C001,Python Course,NPTEL,python,4,0,true,Beginner,
C002,SQL Course,NPTEL,sql,3,0,true,Beginner,
C003,Git Course,Open Learning,git,1,0,true,Beginner,
C004,Flask Course,Open Learning,flask,2,0,true,Intermediate,
C005,REST API Course,Open Learning,rest api,1,0,true,Intermediate,
C006,Docker Fundamentals,Open Learning,docker,1,0,true,Beginner,
C007,HTML CSS Course,Open Learning,html,2,0,true,Beginner,
C008,JavaScript Course,Open Learning,javascript,3,0,true,Beginner,
C009,React Course,Open Learning,react,3,0,true,Intermediate,
C010,Node.js Course,Open Learning,node.js,3,0,true,Intermediate,
C011,MongoDB Course,Open Learning,mongodb,2,0,true,Beginner,
C012,Machine Learning Course,NPTEL,machine learning,6,0,true,Intermediate,
C013,Pandas Course,Open Learning,pandas,2,0,true,Beginner,
C014,NumPy Course,Open Learning,numpy,1,0,true,Beginner,
C015,Power BI Course,Open Learning,power bi,3,0,true,Beginner,
